,Shabda,Varga
2118,riṅkhaṇa,nāṭyavargaḥ
2119,skhalana,nāṭyavargaḥ
2120,nidrā,nāṭyavargaḥ
2121,śayana,nāṭyavargaḥ
2122,svāpa,nāṭyavargaḥ
2123,svapna,nāṭyavargaḥ
2124,saṃveśa,nāṭyavargaḥ
2125,tandrī,nāṭyavargaḥ
2126,pramīlā,nāṭyavargaḥ
2127,bhrakuṭi,nāṭyavargaḥ
2128,bhrukuṭi,nāṭyavargaḥ
2129,bhrūkuṭi,nāṭyavargaḥ
2130,adṛṣṭi,nāṭyavargaḥ
2131,saṃsiddhi,nāṭyavargaḥ
2132,prakṛti,nāṭyavargaḥ
2133,svarūpa,nāṭyavargaḥ
2134,svabhāva,nāṭyavargaḥ
2135,nisarga,nāṭyavargaḥ
2136,vepathu,nāṭyavargaḥ
2137,kampa,nāṭyavargaḥ
2138,kṣaṇa,nāṭyavargaḥ
2139,uddharṣa,nāṭyavargaḥ
2140,maha,nāṭyavargaḥ
2141,uddhava,nāṭyavargaḥ
2142,utsava,nāṭyavargaḥ
2143,adhobhuvana,pātālabhogivargaḥ
2144,pātāla,pātālabhogivargaḥ
2145,balisadman,pātālabhogivargaḥ
2146,rasātala,pātālabhogivargaḥ
2147,nāgaloka,pātālabhogivargaḥ
2148,kuhara,pātālabhogivargaḥ
2149,suṣira,pātālabhogivargaḥ
2150,vivara,pātālabhogivargaḥ
2151,bila,pātālabhogivargaḥ
2152,chidra,pātālabhogivargaḥ
2153,nirvyathana,pātālabhogivargaḥ
2154,roka,pātālabhogivargaḥ
2155,randhra,pātālabhogivargaḥ
2156,śvabhra,pātālabhogivargaḥ
2157,vapā,pātālabhogivargaḥ
2158,śuṣi,pātālabhogivargaḥ
2159,garta,pātālabhogivargaḥ
2160,avaṭa,pātālabhogivargaḥ
2161,suṣira,pātālabhogivargaḥ
2162,andhakāra,pātālabhogivargaḥ
2163,dhvānta,pātālabhogivargaḥ
2164,tamisra,pātālabhogivargaḥ
2165,timira,pātālabhogivargaḥ
2166,tamas,pātālabhogivargaḥ
2167,andhatamasa,pātālabhogivargaḥ
2168,avatamasa,pātālabhogivargaḥ
2169,santamasa,pātālabhogivargaḥ
2170,nāga,pātālabhogivargaḥ
2171,kādraveya,pātālabhogivargaḥ
2172,śeṣa,pātālabhogivargaḥ
2173,ananta,pātālabhogivargaḥ
2174,vāsuki,pātālabhogivargaḥ
2175,sarparāja,pātālabhogivargaḥ
2176,gonasa,pātālabhogivargaḥ
2177,tilitsa,pātālabhogivargaḥ
2178,ajagara,pātālabhogivargaḥ
2179,śayu,pātālabhogivargaḥ
2180,vāhasa,pātālabhogivargaḥ
2181,alagarda,pātālabhogivargaḥ
2182,jalavyāla,pātālabhogivargaḥ
2183,rājila,pātālabhogivargaḥ
2184,ḍuṇḍubha,pātālabhogivargaḥ
2185,māludhāna,pātālabhogivargaḥ
2186,mātulāhi,pātālabhogivargaḥ
2187,nirmukta,pātālabhogivargaḥ
2188,muktakañcuka,pātālabhogivargaḥ
2189,sarpa,pātālabhogivargaḥ
2190,pṛdāku,pātālabhogivargaḥ
2191,bhujaga,pātālabhogivargaḥ
2192,bhujaṅga,pātālabhogivargaḥ
2193,ahi,pātālabhogivargaḥ
2194,bhujaṅgama,pātālabhogivargaḥ
2195,āśīviṣa,pātālabhogivargaḥ
2196,viṣadhara,pātālabhogivargaḥ
2197,cakrin,pātālabhogivargaḥ
2198,vyāla,pātālabhogivargaḥ
2199,sarīsṛpa,pātālabhogivargaḥ
2200,kuṇḍalin,pātālabhogivargaḥ
2201,gūḍhapād,pātālabhogivargaḥ
2202,cakṣuḥśravas,pātālabhogivargaḥ
2203,kākodara,pātālabhogivargaḥ
2204,phaṇin,pātālabhogivargaḥ
2205,darvīkara,pātālabhogivargaḥ
2206,dīrghapṛṣṭha,pātālabhogivargaḥ
2207,dandaśūka,pātālabhogivargaḥ
2208,bileśaya,pātālabhogivargaḥ
2209,uraga,pātālabhogivargaḥ
2210,pannaga,pātālabhogivargaḥ
2211,bhogī,pātālabhogivargaḥ
2212,jihmaga,pātālabhogivargaḥ
2213,pavanāśana,pātālabhogivargaḥ
2214,lelihāna,pātālabhogivargaḥ
2215,dvirasana,pātālabhogivargaḥ
2216,gokarṇa,pātālabhogivargaḥ
2217,kañcukin,pātālabhogivargaḥ
2218,kumbhīnasa,pātālabhogivargaḥ
2219,phaṇadhara,pātālabhogivargaḥ
2220,hari,pātālabhogivargaḥ
2221,bhogadhara,pātālabhogivargaḥ
2222,bhoga,pātālabhogivargaḥ
2223,āśis,pātālabhogivargaḥ
2224,āheya,pātālabhogivargaḥ
2225,sphaṭā,pātālabhogivargaḥ
2226,phaṇā,pātālabhogivargaḥ
2227,kañcuka,pātālabhogivargaḥ
2228,nirmoka,pātālabhogivargaḥ
2229,kṣveḍa,pātālabhogivargaḥ
2230,garala,pātālabhogivargaḥ
2231,viṣa,pātālabhogivargaḥ
2232,kākola,pātālabhogivargaḥ
2233,kālakūṭa,pātālabhogivargaḥ
2234,halāhala,pātālabhogivargaḥ
2235,saurāṣṭrika,pātālabhogivargaḥ
2236,śauklikeya,pātālabhogivargaḥ
2237,brahmaputra,pātālabhogivargaḥ
2238,pradīpana,pātālabhogivargaḥ
2239,dārada,pātālabhogivargaḥ
2240,vatsanābha,pātālabhogivargaḥ
2241,viṣavaidya,pātālabhogivargaḥ
2242,jāṅgulika,pātālabhogivargaḥ
2243,vyālagrāhin,pātālabhogivargaḥ
2244,ahituṇḍika,pātālabhogivargaḥ
2245,nāraka,narakavargaḥ
2246,naraka,narakavargaḥ
2247,niraya,narakavargaḥ
2248,durgati,narakavargaḥ
2249,tapana,narakavargaḥ
2250,avīci,narakavargaḥ
2251,mahāraurava,narakavargaḥ
2252,raurava,narakavargaḥ
2253,saṅghāta,narakavargaḥ
2254,kālasūtra,narakavargaḥ
2255,nāraka,narakavargaḥ
2256,preta,narakavargaḥ
2257,vaitaraṇī,narakavargaḥ
2258,alakṣmī,narakavargaḥ
2259,nirṛti,narakavargaḥ
2260,viṣṭi,narakavargaḥ
2261,ājū,narakavargaḥ
2262,kāraṇā,narakavargaḥ
2263,yātanā,narakavargaḥ
2264,tīvravedanā,narakavargaḥ
2265,pīḍā,narakavargaḥ
2266,bādhā,narakavargaḥ
2267,vyathā,narakavargaḥ
2268,duḥkha,narakavargaḥ
2269,āmanasya,narakavargaḥ
2270,prasūtija,narakavargaḥ
2271,kaṣṭa,narakavargaḥ
2272,kṛcchra,narakavargaḥ
2273,ābhīla,narakavargaḥ
2274,bhedyagāmin,narakavargaḥ
2275,samudra,vārivargaḥ
2276,abdhi,vārivargaḥ
2277,akūpāra,vārivargaḥ
2278,pārāvāra,vārivargaḥ
2279,saritpati,vārivargaḥ
2280,udanvat,vārivargaḥ
2281,udadhi,vārivargaḥ
2282,sindhu,vārivargaḥ
2283,sarasvat,vārivargaḥ
2284,sāgara,vārivargaḥ
2285,arṇava,vārivargaḥ
2286,ratnākara,vārivargaḥ
2287,jalanidhi,vārivargaḥ
2288,yādaḥpati,vārivargaḥ
2289,apāmpati,vārivargaḥ
2290,kṣīroda,vārivargaḥ
2291,lavaṇoda,vārivargaḥ
2292,ap,vārivargaḥ
2293,vār,vārivargaḥ
2294,vāri,vārivargaḥ
2295,salila,vārivargaḥ
2296,kamala,vārivargaḥ
2297,jala,vārivargaḥ
2298,payas,vārivargaḥ
2299,kīlāla,vārivargaḥ
2300,amṛta,vārivargaḥ
2301,jīvana,vārivargaḥ
2302,bhuvana,vārivargaḥ
2303,vana,vārivargaḥ
2304,kabandha,vārivargaḥ
2305,udaka,vārivargaḥ
2306,pātha,vārivargaḥ
2307,puṣkara,vārivargaḥ
2308,sarvatomukha,vārivargaḥ
2309,ambhas,vārivargaḥ
2310,arṇas,vārivargaḥ
2311,toya,vārivargaḥ
2312,pānīya,vārivargaḥ
2313,nīra,vārivargaḥ
2314,kṣīra,vārivargaḥ
2315,ambu,vārivargaḥ
2316,śambara,vārivargaḥ
2317,meghapuṣpa,vārivargaḥ
2318,ghanarasa,vārivargaḥ
2319,āpya,vārivargaḥ
2320,ammaya,vārivargaḥ
2321,bhaṅga,vārivargaḥ
2322,taraṅga,vārivargaḥ
2323,ūrmi,vārivargaḥ
2324,vīci,vārivargaḥ
2325,ullola,vārivargaḥ
2326,kallola,vārivargaḥ
2327,āvarta,vārivargaḥ
2328,pṛṣat,vārivargaḥ
2329,bindu,vārivargaḥ
2330,pṛṣata,vārivargaḥ
2331,vipruṣ,vārivargaḥ
2332,vakra,vārivargaḥ
2333,puṭabheda,vārivargaḥ
2334,bhrama,vārivargaḥ
2335,jalanirgama,vārivargaḥ
2336,kūla,vārivargaḥ
2337,rodha,vārivargaḥ
2338,tīra,vārivargaḥ
2339,pratīra,vārivargaḥ
2340,taṭa,vārivargaḥ
2341,pāra,vārivargaḥ
2342,avāra,vārivargaḥ
2343,para,vārivargaḥ
2344,arvāk,vārivargaḥ
2345,pātra,vārivargaḥ
2346,dvīpa,vārivargaḥ
2347,antarīpa,vārivargaḥ
2348,pulina,vārivargaḥ
2349,saikata,vārivargaḥ
2350,sikatāmaya,vārivargaḥ
2351,niṣadvara,vārivargaḥ
2352,jambāla,vārivargaḥ
2353,paṅka,vārivargaḥ
2354,śāda,vārivargaḥ
2355,kardama,vārivargaḥ
2356,jalocchvāsa,vārivargaḥ
2357,parīvāha,vārivargaḥ
2358,kūpaka,vārivargaḥ
2359,vidāraka,vārivargaḥ
2360,nāvya,vārivargaḥ
2361,nau,vārivargaḥ
2362,taraṇi,vārivargaḥ
2363,tari,vārivargaḥ
2364,uḍupa,vārivargaḥ
2365,plava,vārivargaḥ
2366,kola,vārivargaḥ
2367,srotas,vārivargaḥ
2368,ambusaraṇa,vārivargaḥ
2369,svatas,vārivargaḥ
2370,ātara,vārivargaḥ
2371,tarapaṇya,vārivargaḥ
2372,droṇī,vārivargaḥ
2373,sāṃyātrika,vārivargaḥ
2374,potavaṇij,vārivargaḥ
2375,karṇadhāra,vārivargaḥ
2376,nāvika,vārivargaḥ
2377,niyāmaka,vārivargaḥ
2378,potavāha,vārivargaḥ
2379,kūpaka,vārivargaḥ
2380,guṇavṛkṣaka,vārivargaḥ
2381,naukādaṇḍa,vārivargaḥ
2382,kṣepaṇī,vārivargaḥ
2383,aritra,vārivargaḥ
2384,kenipātaka,vārivargaḥ
2385,abhri,vārivargaḥ
2386,kāṣṭhakuddāla,vārivargaḥ
2387,sekapātra,vārivargaḥ
2388,secana,vārivargaḥ
2389,ardhanāva,vārivargaḥ
2390,atītanauka,vārivargaḥ
2391,atinu,vārivargaḥ
2392,prasanna,vārivargaḥ
2393,āccha,vārivargaḥ
2394,kaluṣa,vārivargaḥ
2395,anaccha,vārivargaḥ
2396,āvila,vārivargaḥ
2397,nimna,vārivargaḥ
2398,gabhīra,vārivargaḥ
2399,gambhīra,vārivargaḥ
2400,uttāna,vārivargaḥ
2401,agādha,vārivargaḥ
2402,atalasparśa,vārivargaḥ
2403,kaivarta,vārivargaḥ
2404,dāśa,vārivargaḥ
2405,dhīvara,vārivargaḥ
2406,ānāya,vārivargaḥ
2407,jāla,vārivargaḥ
2408,caṇasūtra,vārivargaḥ
2409,pavitraka,vārivargaḥ
2410,matsyādhānī,vārivargaḥ
2411,kuveṇī,vārivargaḥ
2412,baḍiśa,vārivargaḥ
2413,matsyavedhana,vārivargaḥ
2414,pṛthuroman,vārivargaḥ
2415,jhaṣa,vārivargaḥ
2416,matsya,vārivargaḥ
2417,mīna,vārivargaḥ
2418,vaisāriṇa,vārivargaḥ
2419,aṇḍaja,vārivargaḥ
2420,visāra,vārivargaḥ
2421,śakulī,vārivargaḥ
2422,gaḍaka,vārivargaḥ
2423,śakulārbhaka,vārivargaḥ
2424,sahasradaṃṣṭra,vārivargaḥ
2425,pāṭhīna,vārivargaḥ
2426,ulūpin,vārivargaḥ
2427,śiśuka,vārivargaḥ
2428,nalamīna,vārivargaḥ
2429,cilicima,vārivargaḥ
2430,proṣṭhī,vārivargaḥ
2431,śapharī,vārivargaḥ
2432,kṣudrāṇḍamatsyasaṅghāta,vārivargaḥ
2433,potādhāna,vārivargaḥ
2434,jhaṣa,vārivargaḥ
2435,rohita,vārivargaḥ
2436,madgura,vārivargaḥ
2437,śāla,vārivargaḥ
2438,rājīva,vārivargaḥ
2439,śakula,vārivargaḥ
2440,timi,vārivargaḥ
2441,timiṅgala,vārivargaḥ
2442,yādas,vārivargaḥ
2443,jalajantu,vārivargaḥ
2444,śiśumāra,vārivargaḥ
2445,udra,vārivargaḥ
2446,śaṅku,vārivargaḥ
2447,makara,vārivargaḥ
2448,kulīra,vārivargaḥ
2449,karkaṭaka,vārivargaḥ
2450,kūrma,vārivargaḥ
2451,kamaṭha,vārivargaḥ
2452,kacchapa,vārivargaḥ
2453,grāha,vārivargaḥ
2454,avahāra,vārivargaḥ
2455,nakra,vārivargaḥ
2456,kumbhīra,vārivargaḥ
2457,mahīlatā,vārivargaḥ
2458,gaṇḍūpada,vārivargaḥ
2459,kiñculaka,vārivargaḥ
2460,nihākā,vārivargaḥ
2461,godhikā,vārivargaḥ
2462,raktapā,vārivargaḥ
2463,jalaukā,vārivargaḥ
2464,jalaukas,vārivargaḥ
2465,muktāsphoṭa,vārivargaḥ
2466,śukti,vārivargaḥ
2467,śaṅkha,vārivargaḥ
2468,kambu,vārivargaḥ
2469,kṣudraśaṅkha,vārivargaḥ
2470,śaṅkhanakha,vārivargaḥ
2471,śambūka,vārivargaḥ
2472,jalaśukti,vārivargaḥ
2473,bheka,vārivargaḥ
2474,maṇḍūka,vārivargaḥ
2475,varṣābhū,vārivargaḥ
2476,śālūra,vārivargaḥ
2477,plava,vārivargaḥ
2478,dardura,vārivargaḥ
2479,śilī,vārivargaḥ
2480,gaṇḍūpadī,vārivargaḥ
2481,bhekī,vārivargaḥ
2482,varṣābhvī,vārivargaḥ
2483,kamaṭhī,vārivargaḥ
2484,ḍuli,vārivargaḥ
2485,śṛṅgī,vārivargaḥ
2486,durnāman,vārivargaḥ
2487,dīrghakośikā,vārivargaḥ
2488,jalāśaya,vārivargaḥ
2489,jalādhāra,vārivargaḥ
2490,hrada,vārivargaḥ
2491,āhāva,vārivargaḥ
2492,nipāna,vārivargaḥ
2493,andhu,vārivargaḥ
2494,prahi,vārivargaḥ
2495,kūpa,vārivargaḥ
2496,udapāna,vārivargaḥ
2497,nemi,vārivargaḥ
2498,trikā,vārivargaḥ
2499,vīnāha,vārivargaḥ
2500,puṣkariṇī,vārivargaḥ
2501,khāta,vārivargaḥ
2502,akhāta,vārivargaḥ
2503,devakhātaka,vārivargaḥ
2504,padmākara,vārivargaḥ
2505,taḍāga,vārivargaḥ
2506,kāsāra,vārivargaḥ
2507,sarasī,vārivargaḥ
2508,sara,vārivargaḥ
2509,veśanta,vārivargaḥ
2510,palvala,vārivargaḥ
2511,alpasaras,vārivargaḥ
2512,vāpī,vārivargaḥ
2513,dīrghikā,vārivargaḥ
2514,kheya,vārivargaḥ
2515,parikhā,vārivargaḥ
2516,ādhāra,vārivargaḥ
2517,ālavāla,vārivargaḥ
2518,āvāla,vārivargaḥ
2519,āvāpa,vārivargaḥ
2520,nadī,vārivargaḥ
2521,sarit,vārivargaḥ
2522,taraṅgiṇī,vārivargaḥ
2523,śaivalinī,vārivargaḥ
2524,taṭinī,vārivargaḥ
2525,hrādinī,vārivargaḥ
2526,dhunī,vārivargaḥ
2527,srotasvinī,vārivargaḥ
2528,dvīpavatī,vārivargaḥ
2529,sravantī,vārivargaḥ
2530,nimnagā,vārivargaḥ
2531,āpagā,vārivargaḥ
2532,kūlaṅkaṣā,vārivargaḥ
2533,nirjhariṇī,vārivargaḥ
2534,rodhovakrā,vārivargaḥ
2535,sarasvatī,vārivargaḥ
2536,gaṅgā,vārivargaḥ
2537,viṣṇupadī,vārivargaḥ
2538,jahnutanayā,vārivargaḥ
2539,suranimnagā,vārivargaḥ
2540,bhāgīrathī,vārivargaḥ
2541,tripathagā,vārivargaḥ
2542,trisrotas,vārivargaḥ
2543,bhīṣmasū,vārivargaḥ
2544,kālindī,vārivargaḥ
2545,sūryatanayā,vārivargaḥ
2546,yamunā,vārivargaḥ
2547,śamanasvasṛ,vārivargaḥ
2548,revā,vārivargaḥ
2549,narmadā,vārivargaḥ
2550,somodbhavā,vārivargaḥ
2551,mekhalakanyakā,vārivargaḥ
2552,karatoyā,vārivargaḥ
2553,sadānīrā,vārivargaḥ
2554,bāhudā,vārivargaḥ
2555,saitavāhinī,vārivargaḥ
2556,śatadru,vārivargaḥ
2557,śutudri,vārivargaḥ
2558,vipāśā,vārivargaḥ
2559,vipāś,vārivargaḥ
2560,śoṇa,vārivargaḥ
2561,hiraṇyavāha,vārivargaḥ
2562,kulyā,vārivargaḥ
2563,śarāvatī,vārivargaḥ
2564,vetravatī,vārivargaḥ
2565,candrabhāgā,vārivargaḥ
2566,sarasvatī,vārivargaḥ
2567,kāverī,vārivargaḥ
2568,sambheda,vārivargaḥ
2569,sindhusaṅgama,vārivargaḥ
2570,praṇālī,vārivargaḥ
2571,dāvika,vārivargaḥ
2572,sārava,vārivargaḥ
2573,saugandhika,vārivargaḥ
2574,kalhāra,vārivargaḥ
2575,hallaka,vārivargaḥ
2576,raktasandhyaka,vārivargaḥ
2577,utpala,vārivargaḥ
2578,kuvalaya,vārivargaḥ
2579,nīlāmbujanman,vārivargaḥ
2580,indīvara,vārivargaḥ
2581,kumuda,vārivargaḥ
2582,kairava,vārivargaḥ
2583,śālūka,vārivargaḥ
2584,vāriparṇī,vārivargaḥ
2585,kumbhikā,vārivargaḥ
2586,jalanīlī,vārivargaḥ
2587,śaivāla,vārivargaḥ
2588,śaivala,vārivargaḥ
2589,kumudvatī,vārivargaḥ
2590,kumudinī,vārivargaḥ
2591,nalinī,vārivargaḥ
2592,bisinī,vārivargaḥ
2593,padminīmukhā,vārivargaḥ
2594,padma,vārivargaḥ
2595,nalina,vārivargaḥ
2596,aravinda,vārivargaḥ
2597,mahotpala,vārivargaḥ
2598,sahasrapatra,vārivargaḥ
2599,kamala,vārivargaḥ
2600,śatapatra,vārivargaḥ
2601,kuśeśaya,vārivargaḥ
2602,paṅkeruha,vārivargaḥ
2603,tāmarasa,vārivargaḥ
2604,sārasa,vārivargaḥ
2605,sarasīruha,vārivargaḥ
2606,bisaprasūna,vārivargaḥ
2607,rājīva,vārivargaḥ
2608,puṣkara,vārivargaḥ
2609,ambhoruha,vārivargaḥ
2610,puṇḍarīka,vārivargaḥ
2611,sitāmbhoja,vārivargaḥ
2612,raktasaroruha,vārivargaḥ
2613,raktotpala,vārivargaḥ
2614,kokanada,vārivargaḥ
2615,nāla,vārivargaḥ
2616,nāla,vārivargaḥ
2617,mṛṇāla,vārivargaḥ
2618,bisa,vārivargaḥ
2619,ṣaṇḍa,vārivargaḥ
2620,karahāṭa,vārivargaḥ
2621,śiphākanda,vārivargaḥ
2622,kiñjalka,vārivargaḥ
2623,kesara,vārivargaḥ
2624,saṃvartikā,vārivargaḥ
2625,navadala,vārivargaḥ
2626,bījakośa,vārivargaḥ
2627,varāṭaka,vārivargaḥ
2628,bhū,bhūmivargaḥ
2629,bhūmi,bhūmivargaḥ
2630,acalā,bhūmivargaḥ
2631,anantā,bhūmivargaḥ
2632,rasā,bhūmivargaḥ
2633,viśvambharā,bhūmivargaḥ
2634,sthirā,bhūmivargaḥ
2635,dharā,bhūmivargaḥ
2636,dharitrī,bhūmivargaḥ
2637,dharaṇi,bhūmivargaḥ
2638,kṣoṇi,bhūmivargaḥ
2639,jyā,bhūmivargaḥ
2640,kāśyapī,bhūmivargaḥ
2641,kṣiti,bhūmivargaḥ
2642,sarvaṃsahā,bhūmivargaḥ
2643,vasumatī,bhūmivargaḥ
2644,vasudhā,bhūmivargaḥ
2645,urvī,bhūmivargaḥ
2646,vasundharā,bhūmivargaḥ
2647,gotrā,bhūmivargaḥ
2648,ku,bhūmivargaḥ
2649,pṛthivī,bhūmivargaḥ
2650,pṛthvī,bhūmivargaḥ
2651,kṣmā,bhūmivargaḥ
2652,avani,bhūmivargaḥ
2653,medinī,bhūmivargaḥ
2654,mahī,bhūmivargaḥ
2655,vipulā,bhūmivargaḥ
2656,gahvarī,bhūmivargaḥ
2657,dhātrī,bhūmivargaḥ
2658,go,bhūmivargaḥ
2659,ilā,bhūmivargaḥ
2660,kumbhinī,bhūmivargaḥ
2661,kṣamā,bhūmivargaḥ
2662,bhūtadhātrī,bhūmivargaḥ
2663,ratnagarbhā,bhūmivargaḥ
2664,jagatī,bhūmivargaḥ
2665,sāgarāmbarā,bhūmivargaḥ
2666,mṛd,bhūmivargaḥ
2667,mṛttikā,bhūmivargaḥ
2668,mṛtsā,bhūmivargaḥ
2669,mṛtsnā,bhūmivargaḥ
2670,urvarā,bhūmivargaḥ
2671,ūṣa,bhūmivargaḥ
2672,kṣāramṛttikā,bhūmivargaḥ
2673,ūṣavat,bhūmivargaḥ
2674,ūṣara,bhūmivargaḥ
2675,sthala,bhūmivargaḥ
2676,sthalī,bhūmivargaḥ
2677,maru,bhūmivargaḥ
2678,dhanvan,bhūmivargaḥ
2679,khila,bhūmivargaḥ
2680,aprahata,bhūmivargaḥ
2681,jagatī,bhūmivargaḥ
2682,loka,bhūmivargaḥ
2683,viṣṭapa,bhūmivargaḥ
2684,bhuvana,bhūmivargaḥ
2685,jagat,bhūmivargaḥ
2686,prācya,bhūmivargaḥ
2687,udīcya,bhūmivargaḥ
2688,pratyanta,bhūmivargaḥ
2689,mlecchadeśa,bhūmivargaḥ
2690,madhyadeśa,bhūmivargaḥ
2691,madhyama,bhūmivargaḥ
2692,āryāvarta,bhūmivargaḥ
2693,puṇyabhūmi,bhūmivargaḥ
2694,nīvṛd,bhūmivargaḥ
2695,janapada,bhūmivargaḥ
2696,deśa,bhūmivargaḥ
2697,viṣaya,bhūmivargaḥ
2698,upavartana,bhūmivargaḥ
2699,naḍvat,bhūmivargaḥ
2700,naḍvala,bhūmivargaḥ
2701,kumudvat,bhūmivargaḥ
2702,vetasvat,bhūmivargaḥ
2703,śādvala,bhūmivargaḥ
2704,sajambāla,bhūmivargaḥ
2705,paṅkila,bhūmivargaḥ
2706,jalaprāya,bhūmivargaḥ
2707,anūpa,bhūmivargaḥ
2708,kaccha,bhūmivargaḥ
2709,śarkarā,bhūmivargaḥ
2710,śarkarila,bhūmivargaḥ
2711,śārkara,bhūmivargaḥ
2712,śarkarāvat,bhūmivargaḥ
2713,sikatā,bhūmivargaḥ
2714,sikatila,bhūmivargaḥ
2715,saikata,bhūmivargaḥ
2716,sikatāvat,bhūmivargaḥ
2717,unneya,bhūmivargaḥ
2718,nadīmātṛka,bhūmivargaḥ
2719,devamātṛka,bhūmivargaḥ
2720,rājanvat,bhūmivargaḥ
2721,rājavat,bhūmivargaḥ
2722,goṣṭha,bhūmivargaḥ
2723,gosthānaka,bhūmivargaḥ
2724,gauṣṭhīna,bhūmivargaḥ
2725,paryantabhū,bhūmivargaḥ
2726,parisara,bhūmivargaḥ
2727,setu,bhūmivargaḥ
2728,āli,bhūmivargaḥ
2729,vāmalūra,bhūmivargaḥ
2730,nāku,bhūmivargaḥ
2731,valmīka,bhūmivargaḥ
2732,ayana,bhūmivargaḥ
2733,vartman,bhūmivargaḥ
2734,mārga,bhūmivargaḥ
2735,adhvan,bhūmivargaḥ
2736,pathin,bhūmivargaḥ
2737,padavī,bhūmivargaḥ
2738,sṛti,bhūmivargaḥ
2739,saraṇi,bhūmivargaḥ
2740,paddhati,bhūmivargaḥ
2741,padyā,bhūmivargaḥ
2742,vartanī,bhūmivargaḥ
2743,ekapadī,bhūmivargaḥ
2744,atipathin,bhūmivargaḥ
2745,supathin,bhūmivargaḥ
2746,satpatha,bhūmivargaḥ
2747,arcitādhvan,bhūmivargaḥ
2748,vyadhva,bhūmivargaḥ
2749,duradhva,bhūmivargaḥ
2750,vipatha,bhūmivargaḥ
2751,kadadhvan,bhūmivargaḥ
2752,kāpatha,bhūmivargaḥ
2753,apathin,bhūmivargaḥ
2754,apatha,bhūmivargaḥ
2755,śṛṅgāṭaka,bhūmivargaḥ
2756,catuṣpatha,bhūmivargaḥ
2757,prāntara,bhūmivargaḥ
2758,kāntāra,bhūmivargaḥ
2759,gavyūti,bhūmivargaḥ
2760,krośayuga,bhūmivargaḥ
2761,nalva,bhūmivargaḥ
2762,ghaṇṭāpatha,bhūmivargaḥ
2763,saṃsaraṇa,bhūmivargaḥ
2764,upaniṣkara,bhūmivargaḥ
2765,dyāvāpṛthivyau,bhūmivargaḥ
2766,rodas,bhūmivargaḥ
2767,dyāvābhūmī,bhūmivargaḥ
2768,rodasī,bhūmivargaḥ
2769,divaspṛthivyī,bhūmivargaḥ
2770,gañjā,bhūmivargaḥ
2771,rumā,bhūmivargaḥ
2772,lavaṇākara,bhūmivargaḥ
2773,pur,puravargaḥ
2774,purī,puravargaḥ
2775,nagarī,puravargaḥ
2776,pattana,puravargaḥ
2777,puṭabhedana,puravargaḥ
2778,sthānīya,puravargaḥ
2779,nigama,puravargaḥ
2780,mūlanagara,puravargaḥ
2781,pura,puravargaḥ
2782,śākhānagara,puravargaḥ
2783,veśa,puravargaḥ
2784,veśyājanasamāśraya,puravargaḥ
2785,āpaṇa,puravargaḥ
2786,niṣadyā,puravargaḥ
2787,vipaṇi,puravargaḥ
2788,paṇyavīthikā,puravargaḥ
2789,rathyā,puravargaḥ
2790,pratolī,puravargaḥ
2791,viśikhā,puravargaḥ
2792,caya,puravargaḥ
2793,vapra,puravargaḥ
2794,prākāra,puravargaḥ
2795,varaṇa,puravargaḥ
2796,sāla,puravargaḥ
2797,prācīna,puravargaḥ
2798,bhitti,puravargaḥ
2799,kuḍya,puravargaḥ
2800,eḍūka,puravargaḥ
2801,gṛha,puravargaḥ
2802,geha,puravargaḥ
2803,udavasita,puravargaḥ
2804,veśman,puravargaḥ
2805,sadman,puravargaḥ
2806,niketana,puravargaḥ
2807,niśānta,puravargaḥ
2808,vastya,puravargaḥ
2809,sadana,puravargaḥ
2810,bhavana,puravargaḥ
2811,āgāra,puravargaḥ
2812,mandira,puravargaḥ
2813,gṛha,puravargaḥ
2814,nikāyya,puravargaḥ
2815,nilaya,puravargaḥ
2816,ālaya,puravargaḥ
2817,vāsa,puravargaḥ
2818,kuṭī,puravargaḥ
2819,śālā,puravargaḥ
2820,sabhā,puravargaḥ
2821,sañjavana,puravargaḥ
2822,catuḥśāla,puravargaḥ
2823,parṇaśālā,puravargaḥ
2824,uṭaja,puravargaḥ
2825,caitya,puravargaḥ
2826,āyatana,puravargaḥ
2827,vājiśālā,puravargaḥ
2828,mandurā,puravargaḥ
2829,āveśana,puravargaḥ
2830,śilpiśālā,puravargaḥ
2831,prapā,puravargaḥ
2832,pānīyaśālikā,puravargaḥ
2833,maṭha,puravargaḥ
2834,gañjā,puravargaḥ
2835,madirāgṛha,puravargaḥ
2836,garbhāgāra,puravargaḥ
2837,vāsagṛha,puravargaḥ
2838,ariṣṭa,puravargaḥ
2839,sūtikāgṛha,puravargaḥ
2840,kuṭṭima,puravargaḥ
2841,candraśālā,puravargaḥ
2842,śirogṛha,puravargaḥ
2843,vātāyana,puravargaḥ
2844,gavākṣa,puravargaḥ
2845,maṇḍapa,puravargaḥ
2846,janāśraya,puravargaḥ
2847,harmya,puravargaḥ
2848,prāsāda,puravargaḥ
2849,saudha,puravargaḥ
2850,rājasadana,puravargaḥ
2851,upakāryā,puravargaḥ
2852,upakārikā,puravargaḥ
2853,svastika,puravargaḥ
2854,sarvatobhadra,puravargaḥ
2855,nandyāvarta,puravargaḥ
2856,vicchandaka,puravargaḥ
2857,prabheda,puravargaḥ
2858,stryagāra,puravargaḥ
